freeResponse,correctAnswer,score,cosine
Trans fat is an unsaturated fat with hydrogen bonds located on two different planes,"fat formed artificially by hydrogenating oils, leading to a different arrangement of double bond(s) than those found in naturally occurring lipids",1.0,0.7764939069747925
A solvent is able to dissolve other molecules that are polar or ionic,substance capable of dissolving another substance,1.0,0.5869283080101013
"when water molecules are attracted to a particular solute in solution and thus surround the solute's positive and negative particles, pulling them apart and keeping them separated in solution",when a polar water molecule surrounds charged or polar molecules thus keeping them dissolved and in solution,1.0,0.8334137797355652
A primary structure is a protein's specific sequence of amino acids.,linear sequence of amino acids in a protein,1.0,0.8889924883842468
dehydration synthesis,dehydration Synthesis,1.0,0.9038819074630737
A hydrogen bond is the attraction between the partial positive of a hydrogen atom from one molecule and the partial negative charge of a different electronegative atom.,weak bond between slightly positively charged hydrogen atoms to slightly negatively charged atoms in other molecules,1.0,0.8034560680389404
"In a living organism, C-14 is constantly being produced through the intake of atmospheric nitrogen-14. When an organism dies, however, there is no more intake of nitrogen-14, thus no more creation of C-14. Thus, the ratio of C-14 to C-12 would be greater in the living elephant as opposed to the ratio of C-14 to C-12 in the mammoth.",The ratio would be higher in the elephant than the mammoth.,1.0,0.7805417776107788
"DNA contains a pentose sugar, while RNA contains a ribose sugar. DNA contains Thymine while RNA contains Uracil. DNA has a double helix shape while RNA is just a long chain",DNA contains deoxyribose and thymine while RNA contains ribose and uracil.,1.0,0.8614115715026855
"saturated triglycerides have single bonds between their hydrogens, while unsaturated triglycerides have double bonds.","Saturated triglycerides contain single bonds and are solids at room temperature, while unsaturated triglycerides contain double bonds and are liquids at room temperature.",0.5,0.8346313238143921
"DNA dictates transcription of mRNA for the entire gene, while RNA only dictates translation after transcription. If translation is mutated, the whole gene will suffer, but if transcription is mutated, the gene may not suffer as much",DNA is the genetic material that is passed from parent cells to daughter cells and to future generations.,1.0,0.7695332765579224
"When water molecules are more attracted to other substances than itself, thus sticking to other surfaces.",attraction between water molecules and other molecules,1.0,0.720933198928833
Cellulose contains glucose monomers like starch but they are linked differently,"<span data-math=""\unicode[Arial]{x3B2}"">\unicode[Arial]{x3B2}</span>-1,4 glycosidic linkages are used",0.5,0.6799007654190063
"Cyanide would interfere with the supply of ATP, meaning that the Cl- ions could no longer move out of the epithelial cells.",Mucus will become dehydrated.,0.0,0.5156073570251465
When a reaction can only proceed in one direction until all of the reactants are used up,chemical reaction where reactants proceed uni-directionally to form products,1.0,0.7206358909606934
Proteins,proteins,1.0,0.8018898367881775
fat,steroid,0.0,0.5722739100456238
protein's geometric shape,"three-dimensional conformation of a protein, including interactions between secondary structural elements; formed from interactions between amino acid side chains",0.0,0.7359825372695923
molecule with carbon in it,any molecule containing carbon (except carbon dioxide),0.5,0.7580434083938599
"sat: animal, no double bond, bad unsat: plant, double bond, good",Saturated fats are solid at room temperature and unsaturated fats are liquid at room temperature,0.5,0.5966015458106995
make single bond,Hydrogenation of unsaturated fats forms the trans fats.,0.5,0.21953143179416656
1,"Shells 1, 2, and 3 are full, and shell 4 has two electrons.",0.0,-0.04269713535904884
Glucose and amino acids,\text{Cl}^-,0.0,0.3595450818538666
The food coloring dissolved quicker in the beaker with the hot water than the beaker with the cold water.,The higher temperature of left beaker causes faster diffusion of yellow dye in the left beaker.,1.0,0.7690619826316833
when ionic bonds are disrupted by the polarity of water molecules,"release of an ion from a molecule such that the original molecule now consists of an ion and the charged remains of the original, such as when water dissociates into H+ and OH-",1.0,0.787224531173706
where the hydrogen atoms are on two different planes,"fat formed artificially by hydrogenating oils, leading to a different arrangement of double bond(s) than those found in naturally occurring lipids",0.5,0.583376407623291
where the fatty acids all have single bonds,long-chain of hydrocarbon with single covalent bonds in the carbon chain; the number of hydrogen atoms attached to the carbon skeleton is maximized,0.5,0.7638363838195801
negative logarithm scale used to describe how acidic or basic a solution is,scale ranging from zero to 14 that is inversely proportional to the concentration of hydrogen ions in a solution,0.5,0.7449195981025696
amino acid,chaperone,0.0,0.18835432827472687
water causing a chemical to breakdown,reaction that causes breakdown of larger molecules into smaller molecules with the utilization of water,1.0,0.731287956237793
ions needed by the nerves and muscles and also for water balance,"ion necessary for nerve impulse conduction, muscle contractions and water balance",1.0,0.8349660634994507
"ice floats, high boiling point, dissolves a lot of things","First, the lower density of water as a solid versus a liquid allows ice to float, forming an insulating surface layer for aquatic life. Second, the high specific heat capacity of water insulates aquatic life or bodily fluids from temperature changes. Third, the high heat of vaporization of water allows animals to cool themselves by sweating.",0.5,0.7442012429237366
saturated fats consist of single bonds whereas unsaturated fats consist of at least one double bond,Saturated fats are solid at room temperature and unsaturated fats are liquid at room temperature,1.0,0.7901907563209534
pH is on a 0-14 scale with number below 7 as acidic and numbers above as basic. Too drastic of a change could denature proteins and kill cell. A bicarbonate buffer system keeps pH from changing drastically.,"The pH scale ranges from 0 to 14, where anything below 7 is acidic and above 7 is alkaline. The bicarbonate system in the human body buffers the blood.",1.0,0.8578035831451416
It is artificially hydrogenated so it can become solid.,Hydrogenation of unsaturated fats forms the trans fats.,1.0,0.6457608342170715
The human body has to use a lot of energy otherwise the sodium-potassium pump would not function correctly.,ATP is required to move sodium ions against their concentration gradient outside the cell.,0.5,0.7155992984771729
carbohydrate that is present in plant and fungi,type of carbohydrate that forms the outer skeleton of all arthropods that include crustaceans and insects; it also forms the cell walls of fungi,0.5,0.7827197313308716
contain little water,secrete salt through their gills and excrete highly concentrated urine,0.0,0.46975213289260864
"when an electron moves from one atom or molecule to another, leaving each molecule electrically charged.",movement of electrons from one element to another; important in creation of ionic bonds,1.0,0.7581632137298584
"Because glucose is a water soluble molecule, it will not want to pass through the nonpolar membrane","The plasma membrane is selectively permeable to polar molecules, and a transport protein is required for larger molecules.",0.5,0.8016796112060547
A functional group is a group of atoms that occurs within a molecule and confers specific chemical properties to that molecule,group of atoms that provides or imparts a specific function to a carbon skeleton,1.0,0.8410123586654663
RNA is a nucleic acid that is involved in protein synthesis.,molecule that is usually single-stranded and plays a variety of roles in gene expression,1.0,0.7673723697662354
water moves through a membrane by active transport,Difference in concentration of solute and solvent,0.0,0.5439454317092896
DNA,a DNA nucleotide,1.0,0.3645212650299072
The nucleus of a cell is a membrane-bound organelle that contains the genetic material for the cell.,core of an atom; contains protons and neutrons,1.0,0.6354997754096985
"The pH scale is an inverse logarithm of how much H+ ions are in the water. Buffers, or substances that absorb excess H+ or OH- ions from solution, prevent the pH from changing drastically.","The pH scale ranges from 0 to 14, where anything below 7 is acidic and above 7 is alkaline. The bicarbonate system in the human body buffers the blood.",1.0,0.8261785507202148
When two ions separate.,"release of an ion from a molecule such that the original molecule now consists of an ion and the charged remains of the original, such as when water dissociates into H+ and OH-",0.5,0.4660007357597351
proteins,protein,1.0,0.9038691520690918
The atomic number is the number of protons in the nucleus of an atom.,total number of protons in an atom,1.0,0.8513467311859131
cholesterol,proteins,0.0,0.6722267866134644
It can have motion in a wider range of temperatures and is also not destroyed as easily and can move better,Fluidity allows greater flexibility to the cell and motion of membrane components required for transport.,1.0,0.6969467997550964
"when water molecules are attracted to each other, keeping the molecules together at the liquid-gas interface",intermolecular forces between water molecules caused by the polar nature of water; responsible for surface tension,1.0,0.7728201150894165
Surface tension is present in water and comes from water's cohesive properties.,tension at the surface of a body of liquid that prevents the molecules from separating; created by the attractive cohesive forces between the molecules of the liquid,1.0,0.7754607796669006
peptide bonds,peptides,1.0,0.7851294875144958
The pH of the solution decreases.,The pH of the solution decreases.,1.0,1.0
An unsaturated fatty acid is one where there is a presence of double bonds in the hydrocarbon chain. One double bond means it is a monounsaturated fat and more than one means its a polyunsaturated fat.,long-chain hydrocarbon that has one or more double bonds in the hydrocarbon chain,1.0,0.863269031047821
The number of atoms for each element in the reaction and the total charge are the same on both sides of the equations (reactants and products).,statement of a chemical reaction with the number of each type of atom equalized for both the products and reactants,1.0,0.8507122993469238
These Disaccharides form when 2 monosaccharides undergo a dehydration reaction (aka condensation or dehydration synthesis). Glycosidic bonds are formed.,Glucose and fructose combine to form sucrose. Glucose and galactose combine to form lactose. Two glucose monomers combine to form maltose.,0.0,0.7646777629852295
Change in DNA is a change in genetic information. Change in RNA changes the protein synthesis.,DNA is the genetic material that is passed from parent cells to daughter cells and to future generations.,1.0,0.7414727210998535
The body needs to use energy because they are charged atoms.,ATP is required to move sodium ions against their concentration gradient outside the cell.,0.0,0.7036938071250916
Has both properties of hydrophobic and hydrophillic,molecule possessing a polar or charged area and a nonpolar or uncharged area capable of interacting with both hydrophilic and hydrophobic environments,1.0,0.6549734473228455
a biopolymer composed of 13 or more nucleotide monomers covalently bonded in a chain,long chain of nucleotides,1.0,0.596173882484436
a process by which the contents of a cell vacuole are released to the exterior through fusion of the vacuole membrane with the cell membrane,process of passing bulk material out of a cell,1.0,0.7059226632118225
Bc it doesn't identify it as self,Glycoproteins and glycolipids on the surface of the organ are not recognized by the immune system.,0.5,0.5114423036575317
A property that attracts water molecules to themselves bc they are alike,attraction between water molecules and other molecules,0.0,0.7054405212402344
Building blocks of proteins synthesized by the body,"monomer of a protein
",1.0,0.6093785762786865
Atoms that are oppositely charged and transfer electrons,ions with opposite charges,1.0,0.6517083644866943
DNA is the genetic code while RNA is used in protein synthesis,DNA is the genetic material that is passed from parent cells to daughter cells and to future generations.,1.0,0.7333104610443115
For structure,production of bile salts,0.0,0.22581256926059723
A chemical,chaperone,0.0,0.34867000579833984
H+ donor.,molecule that donates hydrogen ions and increases the concentration of hydrogen ions in a solution,1.0,0.03718874603509903
property of water that allows bugs to walk on top of its surface,tension at the surface of a body of liquid that prevents the molecules from separating; created by the attractive cohesive forces between the molecules of the liquid,0.5,0.7091851234436035
DNA,DNA,1.0,0.5545412302017212
ionic,Hydrogen bond,0.0,0.35086625814437866
A measure of hydrogen ion concentration; a measure of the acidity or alkalinity of a solution.,scale ranging from zero to 14 that is inversely proportional to the concentration of hydrogen ions in a solution,1.0,0.8001000881195068
"provides either hydroxide ions (OHÛÒ) or other negatively charged ions that combine with hydrogen ions, reducing their concentration in the solution and thereby raising the pH.",molecule that donates hydroxide ions or otherwise binds excess hydrogen ions and decreases the concentration of hydrogen ions in a solution,1.0,0.8775379657745361
The most common are the ë±-helix and ë_-pleated sheet structures (See Figure). Both structures are the ë±-helix structureÛÓthe helix held in shape by hydrogen bonds. The hydrogen bonds form between the oxygen atom in the carbonyl group in one amino acid and another amino acid that is four amino acids farther along the chain.,α helix and β -pleated sheet,1.0,0.4644154906272888
because of the geometry of the molecule and the great electronegativity difference between the Hydrogen atom and the Oxygen atom.,"Oxygen is more electronegative than hydrogen, generating a partial negative charge near the oxygen atoms.",1.0,0.7617203593254089
peptide bonds,peptide bond,1.0,0.9639047980308533
"The octet rule is the rule stating that atoms tend to combine in such a way that each atom has eight electrons in its valence shell, giving it the same electronic configuration and stability as a noble gas.",rule that atoms are most stable when they hold eight electrons in their outermost shells,1.0,0.8135390281677246
bonds,Saturated fats are solid at room temperature and unsaturated fats are liquid at room temperature,0.5,-0.0759444311261177
to use as ATP,ATP is required to move sodium ions against their concentration gradient outside the cell.,0.5,0.4437878131866455
lipids,Cholesterol,0.5,0.7181159257888794
form of active transport across a biological membrane in which a transporter protein couples the movement of an ion down its electrochemical gradient to the uphill movement of another molecule or ion against a concentration/electrochemical gradient.,movement of material that is due to the electrochemical gradient established by primary active transport,1.0,0.7799386978149414
RNA,DNA,0.0,0.8177123665809631
"Because oxygen has a significantly higher electronegativity than hydrogen, electrons are attracted more to the oxygen atom in the water molecule, creating a polarity.","Oxygen is more electronegative than hydrogen, generating a partial negative charge near the oxygen atoms.",1.0,0.8618015050888062
Adhesion is the attraction between water and other molecules.,the attraction between water molecules and other molecules,1.0,0.8998852968215942
Bases binds up excess hydrogen molecules.,base,1.0,0.04374614357948303
"When acids are added to a solution, the pH should decrease to represent increase in acidity.",decrease,1.0,0.17550347745418549
A chemical bond is a bond in which atoms share or transfer electrons to one another.,interaction between two or more of the same or different atoms that results in the formation of molecules,0.5,0.7404310703277588
"Cohesion is when water molecules are attracted to one another because of hydrogen bonding which keeps water molecules together. Cohesion produces surface tension. An example would be floating a needle on top of a glass of water (if placed gently). The needle cannot break the cohesion and surface tension of water molecules because of hydrogen bonding. Adhesion is the attraction between water molecules and other molecules and materials. An example of adhesion would be how water acts in capillary tubes. The charges in the glass of the capillary tube cause water to attach itself to the sides of the tube, making it appear higher than the middle of water in tube.","Cohesion is the attraction between the water molecules, which helps create surface tension. Insects can walk on water because of cohesion. Adhesion is the attraction between water molecules and other molecules. Water moving up from the roots of plants to the leaves as a result of capillary action is because of adhesion. Heat of vaporization is the amount of energy required to convert liquid into gas. This property helps humans maintain homeostasis of body temperature by evaporation.",1.0,0.9128942489624023
Hydrophobic is the repelling of water. It could mean a substance is insoluble or nonpolar as well.,molecule that does not have the ability to bond with water; “water-hating”,1.0,0.7098462581634521
Chemical reactivity is the interaction between elements with forming chemical bonds.,the ability to combine and to chemically bond with each other,1.0,0.7141073942184448
DNA,DNA,1.0,1.0
the amount of heat one gram of a substance must absorb or lose to change its temperature by 1 degree Celsius,the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius,1.0,0.9892993569374084
A compound with a primary structure of two carbon-nitrogen rings,type of nitrogenous base in DNA and RNA; adenine and guanine are purines,1.0,0.6328902244567871
A polymer made up of many nucleotide units,long chain of nucleotides,1.0,0.6217153072357178
ions with opposite charges,ions with opposite charges,1.0,1.0
Chemical reactions synthesized more complex organic compounds from the simpler inorganic precursors.,Hydrogen gas is so light with a molecular weight of 1 that the excess diffused into space over time and is now absent from the atmosphere.,0.0,0.7044437527656555
A change in DNA results in a change of protein function. A change in RNA is not as detrimental as RNA is degraded as soon as it is used.,DNA is the genetic material that is passed from parent cells to daughter cells and to future generations.,1.0,0.7557993531227112
a gradient of electrochemical potential,gradient produced by the combined forces of an electrical gradient and a chemical gradient,0.0,0.6866869926452637
forms of the same element with equal number of protons but a different number of neutrons,one or more forms of an element that have different numbers of neutrons,1.0,0.8769636154174805
denaturation,denaturation,1.0,1.0000001192092896
the 7-14 pH scale of hydroxide ions,molecule that donates hydroxide ions or otherwise binds excess hydrogen ions and decreases the concentration of hydrogen ions in a solution,1.0,0.7282152771949768
Breaking down of water molecules for energy,reaction that causes breakdown of larger molecules into smaller molecules with the utilization of water,0.0,0.7289513349533081
beta strands connecting laterally,secondary structure found in proteins in which “pleats” are formed by hydrogen bonding between atoms on the backbone of the polypeptide chain,0.0,0.5544925332069397
Healthy fats,long-chain hydrocarbon that has one or more double bonds in the hydrocarbon chain,0.0,0.2953178882598877
the outer sub-shell of an atom needs to have 8 valence electrons in order to be stable.,rule that atoms are most stable when they hold eight electrons in their outermost shells,1.0,0.7860773801803589
more concentrated outside cell,"situation in which extracellular fluid has a higher osmolarity than the fluid inside the cell, resulting in water moving out of the cell",0.5,0.5528727173805237
8,8 protons and 8 neutrons,1.0,0.43028050661087036
separates the water and other materials inside the membrane,Fluidity allows greater flexibility to the cell and motion of membrane components required for transport.,0.5,0.6263641119003296
base,base,1.0,1.0000001192092896
"covalent, carbon",glycosidic; galactose,0.0,0.4201098382472992
four,four,1.0,1.0
A charged atom.,atom or chemical group that does not contain equal numbers of protons and electrons,1.0,0.47535911202430725
lipid made of long chain of fatty acids,lipid made of a long-chain fatty acid that is esterified to a long-chain alcohol,0.5,0.8170783519744873
ion necessary for nerve impulse,"ion necessary for nerve impulse conduction, muscle contractions and water balance",1.0,0.7547645568847656
3d conformation of a protein,"three-dimensional conformation of a protein, including interactions between secondary structural elements; formed from interactions between amino acid side chains",1.0,0.7314227223396301
Hydrolysis is the breaking down of a compound due to its reaction with water,reaction that causes breakdown of larger molecules into smaller molecules with the utilization of water,1.0,0.7565340995788574
"Triglycerides with trans double bonds (popularly called trans fats), have relatively linear fatty acids that are able to pack tightly together at room temperature and form solid fats","fat formed artificially by hydrogenating oils, leading to a different arrangement of double bond(s) than those found in naturally occurring lipids",1.0,0.8438641428947449
the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius,the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius,1.0,0.9999998807907104
Hydrogen bonds and Van Der Waals Interactions are both weak bonds,Hydrogen bond,1.0,0.3433862030506134
Group 1 and 17,Group 1 and Group 17,1.0,0.9692153930664062
attraction between water molecules and other molecules,the attraction between water molecules and other molecules,1.0,0.983989953994751
major constituent of the membranes; composed of two fatty acids and a phosphate-containing group attached to a glycerol backbone,major constituent of the membranes; composed of two fatty acids and a phosphate-containing group attached to a glycerol backbone,1.0,1.0000001192092896
characteristic of a membrane that allows some substances through but not others,characteristic of a membrane that allows some substances through but not others,0.5,1.0
atom or chemical group that does not contain equal numbers of protons and electrons,atom or chemical group that does not contain equal numbers of protons and electrons,1.0,0.9648992419242859
"monomer of nucleic acids; contains a pentose sugar, one or more phosphate groups, and a nitrogenous base","monomer of nucleic acids; contains a pentose sugar, one or more phosphate groups, and a nitrogenous base",1.0,0.9999999403953552
A monomer is a subunit of a macromolecule.,smallest unit of larger molecules called polymers,0.5,0.6279209852218628
Cohesion is the intermolecular forces between molecules that hold the molecules together.,intermolecular forces between water molecules caused by the polar nature of water; responsible for surface tension,1.0,0.7704741358757019
The sodium-potassium pump removes three positively charged ions while only giving back two.,"The sodium-potassium pump forces out three (positive) <span data-math=""\text{Na}^+\!"">\text{Na}^+\!</span> ions for every two (positive) <span data-math=""\text{K}^+\!"">\text{K}^+\!</span> ions it pumps in, thus the cell loses a net positive charge of one at every cycle of the pump.",1.0,0.7942063212394714
"No, because the solution would most likely have been hypertonic causing the cells to burst.","False, the solution was hypotonic.",0.5,0.6617449522018433
"one of four nitrogen bases: adenine, guanine, cytosine, and thymine.","sugars, phosphate groups, nitrogenous bases",0.0,0.7255107164382935
Isomers are molecules that have the same molecular formula but differ in the placement of an atom or bond.,molecules that differ from one another even though they share the same chemical formula,1.0,0.8085863590240479
Electron transfer occurs when an electron relocates from one atom or molecule to another.,movement of electrons from one element to another; important in creation of ionic bonds,1.0,0.7387025356292725
"Cohesive and Adhesive properties of water help plants transport water from their roots to their leaves, the high heat of vaporization of water allows humans to cool off as we sweat, and because of it's polarity, water is a good solvent.","First, the lower density of water as a solid versus a liquid allows ice to float, forming an insulating surface layer for aquatic life. Second, the high specific heat capacity of water insulates aquatic life or bodily fluids from temperature changes. Third, the high heat of vaporization of water allows animals to cool themselves by sweating.",1.0,0.8908300399780273
Fatty Acids: hydrocarbon chains with the last carbon being part of a carboxyl group. Glycerol: three carbon chain with an OH group at the end of each carbon. Phospholipid: polar head and two hydrophobic tails. Triglyceride: fatty acid and glycerol put together.,"
  lipids like margarine
  wax like the coating on feathers
  phospholipids like cell membrane constituents
  steroid like cholesterol

",1.0,0.7876984477043152
base,base,1.0,0.41043877601623535
Hydrogen bonds and Van Der Waals interactions.,hydrogen bond,1.0,0.3419291079044342
tRNA,hormone,0.0,0.17858515679836273
plasma membranes,the plasma membrane of animal cells,1.0,0.6772085428237915
"Molecular size is a slower rate of diffusion because it takes more energy to transport it. The hotter the temperature the faster the diffusion. When solution density is higher the faster the diffusion, the more the distance the higher the rate of diffusion.","Larger molecules move slower than lighter molecules. Increasing or decreasing temperature increases or decreases the energy in the medium, affecting molecular movement. Density is inversely proportional to molecular movement. Greater distance slows the diffusion.",1.0,0.8951343297958374
ionic,Hydrogen bond,0.0,0.35086625814437866
we dont have the enzyme in the body to digest cellulose,"Amylase can digest 1,4 linkage of glucose found in starch whereas it cannot digest the linkage of glucose found in cellulose.",1.0,0.832502007484436
Something that moves a larger substance through the body or through the membrane,specific carrier proteins or pumps that facilitate movement,0.5,0.6855242252349854
a group of atoms bonded to gether,two or more atoms chemically bonded together,1.0,0.7846379280090332
"molecule made of nucleotides, found in DNA or RNA",biological macromolecule that carries the genetic blueprint of a cell and carries instructions for the functioning of the cell,0.5,0.6672733426094055
when a cell engulfs matter by breaking off of the cell membrane,"type of active transport that moves substances, including fluids and particles, into a cell",1.0,0.7125893235206604
When acids are added to solutions their pHs are lowered.,The pH of the solution decreases.,1.0,0.6393049359321594
"The main component of a plasma membrane are the amphiphilic phospholipid molecules that form a bilayer and help with the structure of the plasma membrane and allows for the separation of certain materials from each other. Cholesterol is attached between phospholipids and between the two phospholipid layers, therefore contributing to the structure of the membrane. Peripheral and integral proteins can serve as enzymes, as structural attachments for fibers of the cytoskeleton, or as part of the cell's recognition sites. Carbohydrates are the fourth component; they allow cells to recognize each other by forming specialized sites on the cell's surface, and it also aids in the interaction of the cell with its watery environment and in the cell's ability to obtain substances dissolved in water.",Phospholipids: form the bilayer; Carbohydrates: help in adhesion; Cholesterol: provide flexibility; Integral proteins: form transporters; Peripheral proteins: part of the cell’s recognition sites.,1.0,0.8854773640632629
An example of monosaccharide is glucose.,fructose,1.0,0.3899259567260742
The functional group amino is present in the molecule.,amino,1.0,0.41320034861564636
A chemical that helps a protein fold properly is called a chaperone.,chaperone,1.0,0.04341104254126549
Water moves through the membrane from an area of high concentration to one of low concentration. It occurs when there is a concentration gradient of a solute in a solution but the membrane does not allow for the diffusion of the solute. The diffusion of water continues until the concentration gradient of water goes to zero or until the hydrostatic pressure of water balances osmotic pressure.,Difference in concentration of solute and solvent,1.0,0.6030507683753967
"An insufficient amount of potassium could cause muscular problems, because your muscles need potassium to function properly. A person's blood pressure and heart could also be negatively affected by low levels of potassium.",The cell would not be able to get rid of extra sodium.,0.5,0.741757333278656
A substance produced by the body that is involved in the development of each individual.,"chemical signaling molecule, usually protein or steroid, secreted by endocrine cells that act to control or regulate specific physiological processes",0.0,0.743965744972229
The smallest unit of matter.,the smallest unit of matter that retains all of the chemical properties of an element,1.0,0.7268513441085815
Ionic bonds involve the transfers of electrons and typically involve ions with opposite charges. Covalent bonds deal with the sharing of electrons between atoms.,Ionic bond involves the transfer of electrons whereas covalent bond involves the sharing of electrons.,1.0,0.9016397595405579
"The layer of ice that forms on lakes and ponds create an insulating barrier that protects plants and animals that are in the lake from freezing. Since water has a high heat capacity it is used by warm blooded animals in order to evenly disperse heat in their bodies. The process of water evaporating takes up energy, which is why the evaporation of sweat allows an organism to cool down and maintain their body temperature.","First, the lower density of water as a solid versus a liquid allows ice to float, forming an insulating surface layer for aquatic life. Second, the high specific heat capacity of water insulates aquatic life or bodily fluids from temperature changes. Third, the high heat of vaporization of water allows animals to cool themselves by sweating.",1.0,0.9240596890449524
"Cohesion is when water molecules are attracted to one another through hydrogen bonding. Cohesion allows for the development of surface tension, which in turn allow some insects like the water strider to float on top of water. Adhesion is the attraction of water molecules with other molecules. Adhesion along with cohesion are used in the transportation of water from the roots to the leaves in plants. The property of high heat of vaporization means that water requires much more heat or energy in order to break the hydrogen bonds between water molecules and allow them to escape from a liquid to a gas. Due to this property water takes up energy when it evaporates, which cools the environment where the evaporation is taking place.","Cohesion is the attraction between the water molecules, which helps create surface tension. Insects can walk on water because of cohesion. Adhesion is the attraction between water molecules and other molecules. Water moving up from the roots of plants to the leaves as a result of capillary action is because of adhesion. Heat of vaporization is the amount of energy required to convert liquid into gas. This property helps humans maintain homeostasis of body temperature by evaporation.",1.0,0.941737949848175
"Phospholipids are the major components of the plasma membrane, which is the outermost layer of animals cells. They are responsible for the dynamic nature of the plasma membrane. In a membrane a bilayer of phospholipids forms the matrix of the structure because its head is hydrophilic while its tail is hydrophobic.","Phospholipids orient their heads towards the polar molecules and tails in the interior of the membrane, thus forming a bilayer.",1.0,0.8756860494613647
"The categories of amino acids that you would expect to find on the surface of a soluble protein would be polar, uncharged R groups, positively charged R groups, and negatively charged R groups. Examples of amino acids that would fall into this these categories would be serine, proline, lysine, glutamate, and threonine. The categories of amino acids that you would expect to find in the interior would be non-polar, aliphatic R groups and non-polar, aromatic R groups. Examples that fall into these categories are glycine, valine, isoleucine, and tyrosine.",Polar and charged amino acids will be found on the surface whereas non-polar in the interior.,1.0,0.8637732267379761
"Urey and Miller made the assumption that the atmosphere of the Earth was mainly made up of methane, ammonia, hydrogen, and water. So with that in mind they composed something that they thought resembled the Earth's atmosphere in order to see if organic molecules could be produced under those given conditions.",the composition of the gases in the atmosphere,1.0,0.5721070766448975
